Date,Open,High,Low,Close,Adj Close,Volume
2015-02-12,12908.500000,13011.349609,12895.500000,12995.049805,12995.049805,0
2015-02-13,13043.950195,13123.549805,13023.299805,13100.799805,13100.799805,0
2015-02-16,null,null,null,null,null,null
2015-02-18,13103.849609,13185.450195,13080.049805,13174.299805,13174.299805,0
2015-02-19,13234.250000,13251.450195,13067.549805,13202.349609,13202.349609,0
2015-02-20,13253.700195,13281.349609,13148.400391,13200.400391,13200.400391,231600
2015-02-23,13244.349609,13253.150391,13038.200195,13070.950195,13070.950195,0
2015-02-24,13098.150391,13101.900391,12984.000000,13022.950195,13022.950195,0
2015-02-25,13074.599609,13112.299805,12988.200195,13002.099609,13002.099609,0
2015-02-26,13016.349609,13016.349609,12816.750000,12851.400391,12851.400391,0
2015-02-27,12897.700195,13119.049805,12897.700195,13113.299805,13113.299805,0
2015-02-28,null,null,null,null,null,null
2015-03-02,13207.099609,13330.049805,13141.299805,13322.200195,13322.200195,0
2015-03-03,13358.549805,13434.400391,13338.349609,13425.349609,13425.349609,0
2015-03-04,13515.700195,13521.650391,13207.299805,13242.900391,13242.900391,0
2015-03-05,13279.250000,13365.000000,13236.900391,13349.500000,13349.500000,245800
2015-03-09,13291.750000,13314.599609,13158.650391,13175.250000,13175.250000,0
2015-03-10,13211.150391,13286.049805,13131.099609,13177.799805,13177.799805,0
2015-03-11,13202.349609,13232.250000,13108.250000,13128.750000,13128.750000,0
2015-03-12,13187.700195,13341.900391,13187.700195,13334.000000,13334.000000,0
2015-03-13,13422.599609,13432.549805,13133.900391,13155.200195,13155.200195,268200
2015-03-16,13193.750000,13194.549805,13044.599609,13105.250000,13105.250000,0
2015-03-17,13166.799805,13275.900391,13135.400391,13233.000000,13233.000000,0
2015-03-18,13291.799805,13326.700195,13215.650391,13255.150391,13255.150391,0
2015-03-19,13358.400391,13398.950195,13183.900391,13207.299805,13207.299805,0
2015-03-20,13234.200195,13234.200195,12998.400391,13012.900391,13012.900391,0
2015-03-23,13028.799805,13031.450195,12874.349609,12907.549805,12907.549805,0
2015-03-24,12912.450195,12953.500000,12824.799805,12867.250000,12867.250000,0
2015-03-25,12898.200195,12915.650391,12854.799805,12883.700195,12883.700195,0
2015-03-26,12848.849609,12882.799805,12754.950195,12767.799805,12767.799805,0
2015-03-27,null,null,null,null,null,null
2015-03-30,12837.150391,12947.500000,12814.900391,12939.099609,12939.099609,0
2015-03-31,13007.450195,13063.549805,12946.599609,13001.250000,13001.250000,0
2015-04-01,null,null,null,null,null,null
2015-04-06,13196.099609,13282.349609,13154.200195,13274.150391,13274.150391,0
2015-04-07,13322.599609,13398.450195,13247.400391,13389.750000,13389.750000,0
2015-04-08,13463.900391,13517.650391,13438.750000,13494.000000,13494.000000,0
2015-04-09,13570.049805,13572.150391,13440.650391,13526.500000,13526.500000,0
2015-04-10,null,null,null,null,null,null
2015-04-13,null,null,null,null,null,null
2015-04-15,13701.750000,13738.700195,13533.099609,13564.500000,13564.500000,0
2015-04-16,13592.400391,13606.000000,13357.299805,13468.849609,13468.849609,0
2015-04-17,null,null,null,null,null,null
2015-04-20,13280.799805,13281.250000,12852.349609,12942.450195,12942.450195,0
2015-04-21,12961.000000,12996.549805,12810.400391,12846.250000,12846.250000,0
2015-04-22,12897.099609,12938.450195,12711.450195,12878.650391,12878.650391,0
2015-04-23,12955.549805,13016.900391,12867.799805,12886.750000,12886.750000,0
2015-04-24,null,null,null,null,null,null
2015-04-27,12689.799805,12694.349609,12336.049805,12368.549805,12368.549805,0
2015-04-28,12343.750000,12595.099609,12298.849609,12577.299805,12577.299805,0
2015-04-29,12616.549805,12682.500000,12583.250000,12646.599609,12646.599609,0
2015-04-30,null,null,null,null,null,null
2015-05-04,12775.950195,12967.750000,12775.950195,12948.599609,12948.599609,0
2015-05-05,12961.450195,13044.150391,12949.599609,13007.700195,13007.700195,0
2015-05-06,12969.549805,13012.349609,12525.700195,12553.799805,12553.799805,0
2015-05-07,12541.799805,12541.799805,12222.849609,12319.450195,12319.450195,0
2015-05-08,null,null,null,null,null,null
2015-05-11,12602.150391,12774.400391,12602.150391,12769.000000,12769.000000,0
2015-05-12,12791.200195,12791.200195,12543.950195,12561.799805,12561.799805,0
2015-05-13,12666.849609,12783.849609,12604.950195,12757.650391,12757.650391,0
2015-05-14,12764.299805,12940.549805,12697.750000,12933.150391,12933.150391,0
2015-05-15,null,null,null,null,null,null
2015-05-18,13009.900391,13084.099609,13001.799805,13070.250000,13070.250000,0
